07:45:14.015 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:14.015 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:14.016 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:41.453 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:45:41.662 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:46.897 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:45:47.105 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:46:02.562 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds + ? where account_username = ? 
07:46:02.759 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:46:02.786 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:46:02.786 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:46:29.843 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:46:30.055 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:46:30.071 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:46:30.071 [main] INFO  com.ben.util.ResourceCloser - set closed
07:46:30.071 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:47:25.716 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds - ? where account_username = ? 
07:47:25.927 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:47:25.942 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:47:25.942 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:47:25.942 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds + ? where account_username = ? 
07:47:26.140 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:47:26.155 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:47:26.156 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:09.806 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds - ? where account_username = ? 
07:48:10.003 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:10.018 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:10.019 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:10.019 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds + ? where account_username = ? 
07:48:10.225 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:10.241 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:10.242 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:14.285 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:48:14.475 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:14.489 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:14.489 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:14.489 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:47.197 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:48:47.220 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:48:48.564 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:48:48.947 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:48:50.833 [main] INFO  com.ben.client.AppUI - the login page of customer
07:48:54.204 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:48:54.929 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:54.960 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:54.961 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:54.961 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:54.961 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:48:55.186 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:55.205 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:55.205 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:55.205 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:55.205 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:48:55.909 [main] INFO  com.ben.client.AppUI - the login page of customer
07:48:56.879 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:48:57.075 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:57.089 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:57.089 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:57.089 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:57.089 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:48:57.268 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:57.281 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:57.281 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:57.281 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:48:57.282 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:48:57.490 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:48:57.504 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:48:57.504 [main] INFO  com.ben.util.ResourceCloser - set closed
07:48:57.504 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:52:01.544 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from profiles_table where profile_to_customers_id = customerID
07:52:01.803 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:52:01.833 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:52:01.834 [main] INFO  com.ben.util.ResourceCloser - set closed
07:52:01.834 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:52:26.635 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from profile_table_accounts_table where profile_username = profileName
07:52:26.836 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:52:26.849 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:52:26.850 [main] INFO  com.ben.util.ResourceCloser - set closed
07:52:26.850 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:55:12.105 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:55:14.350 [main] INFO  com.ben.client.AppUI - the login page of customer
07:55:16.814 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:55:17.547 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:55:17.573 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:55:17.573 [main] INFO  com.ben.util.ResourceCloser - set closed
07:55:17.573 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:55:17.573 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:55:17.778 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:55:17.792 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:55:17.792 [main] INFO  com.ben.util.ResourceCloser - set closed
07:55:17.792 [main] INFO  com.ben.util.ResourceCloser - statement closed
